post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,207,pretext,2026-04-05 16:21:32,0.3526405451448041,True
47645240,SpaceX Pushes Back Crucial Starship Test Launch,worldnews,11,5,bookmtn,2026-04-05 16:21:39,0.4166666666666667,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,worldnews,780,365,hkmaxpro,2026-04-05 16:21:42,0.4673495518565941,True
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,worldnews,373,152,speckx,2026-04-05 16:22:03,0.40641711229946526,True
47646363,Modern Generic SVGA driver for Windows 3.1,sports,43,10,userbinator,2026-04-05 16:22:21,0.22727272727272727,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,12,1,andsoitis,2026-04-05 16:22:33,0.07692307692307693,False
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,199,131,pseudolus,2026-04-05 16:22:36,0.655,True
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 16:22:43,0.43617021276595747,False
47641164,Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,sports,29,23,ceejayoz,2026-04-05 16:23:56,0.7666666666666667,False
47643217,Microsoft to force updates to Windows 11 25H2 for PCs with older OS versions,sports,46,42,cratermoon,2026-04-05 16:25:02,0.8936170212765957,False
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),sports,10,3,TMWNN,2026-04-05 16:25:04,0.2727272727272727,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),sports,40,6,ruevs,2026-04-05 16:25:06,0.14634146341463414,False
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 16:26:47,1.0,False
47632273,"Wine 11.6 – Run Windows Applications on Linux, BSD, Solaris and macOS",sports,8,0,neustradamus,2026-04-05 16:26:57,0.0,False
47607408,Scientists Figured Out How Eels Reproduce (2022),science,34,0,thunderbong,2026-04-05 16:27:25,0.0,False
47611993,VR Realizes the Cyberspace Metaphor,science,14,8,dryadin,2026-04-05 16:27:45,0.5333333333333333,False
47641464,Scientists observe an immune signaling complex forming inside cells,science,109,7,ohjeez,2026-04-05 16:27:56,0.06363636363636363,False
47629485,A case study in testing with 100+ Claude agents in parallel,science,52,46,thejash,2026-04-05 16:28:26,0.8679245283018868,False
47645926,The Spaceballs sequel will be released in April next year,science,5,0,WaitWaitWha,2026-04-05 16:28:30,0.0,False
47611721,IBM Announces Strategic Collaboration with Arm,science,281,191,bonzini,2026-04-05 16:29:12,0.6773049645390071,True
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 16:29:16,1.4371859296482412,True
47608495,Quantum computing bombshells that are not April Fools,science,264,105,Strilanc,2026-04-05 16:29:34,0.39622641509433965,True
47602598,An experimental guide to Answer Engine Optimization,science,9,3,rosslh,2026-04-05 16:29:38,0.3,False
47631190,Chip-scale optical wireless system hits 362 Gbps at half the energy of Wi-Fi,science,10,0,prabal97,2026-04-05 16:29:50,0.0,False
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,science,86,39,prabal97,2026-04-05 16:29:57,0.4482758620689655,False
